stream,architecture,seed,n_post_warmup,incumbent_mean_brier,candidate_mean_brier,mean_brier_gap,promotion_time,final_log_evidence
Bananas,16-8,8,4700,0.24464030810792506,0.22547635071955,0.019163957388375126,1037,79.08106823728265
Bananas,16-8,9,4700,0.25051468943068833,0.22858023910706185,0.02193445032362641,767,86.06884471809977
Bananas,16-8,10,4700,0.2427959774001052,0.23340661215673403,0.00938936524337122,1356,33.73263679819221
Bananas,16-8,11,4700,0.24349049773799133,0.22185174724029544,0.021638750497695862,936,88.42749679469966
Bananas,16-8,12,4700,0.24489074729810048,0.2321094925112507,0.012781254786849756,1103,51.95624386375042
Bananas,16-8,13,4700,0.24621619598261116,0.23171102618515288,0.014505169797458249,1170,60.01803986195969
Bananas,16-8,14,4700,0.2431964218563666,0.22977658322859598,0.01341983862777062,1276,53.14442248207052
Bananas,16-8,15,4700,0.2510103607957699,0.22392090775547427,0.02708945304029562,761,106.72955589805332
Bananas,16-8,16,4700,0.24880836565277023,0.22349913497979113,0.02530923067297915,942,95.53347775849565
Bananas,16-8,17,4700,0.24830836780388293,0.232938843663648,0.015369524140234965,1125,57.632389964145254
Bananas,16-8,18,4700,0.2453890388990116,0.22748956000697249,0.017899478892039137,1094,72.94578194151693
Bananas,16-8,19,4700,0.26266256286632106,0.24468150099684868,0.01798106186947235,790,64.71772330877121
